,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
295,0.9302795275590551,400.0,403.8042093,407.0323844,409.7167702,411.8818197,413.5467203,414.7259141,415.4294706,415.6633343
296,0.10995669291338582,400.0,394.4594769,389.6992136,385.7034315,382.4565834,379.9454859,378.1595844,377.0911729,376.7355606
297,0.7162874015748032,400.0,401.1918912,402.2057008,403.0510022,403.7341824,404.2603581,404.6334434,404.8561996,404.93027
298,0.3788740157480315,400.0,397.3290437,395.0411016,393.1259786,391.5733619,390.3747225,389.5233684,389.0144887,388.8451848
299,0.21081889763779527,400.0,395.5149863,391.6659396,388.438331,385.8178713,383.7925561,382.3528475,381.4918223,381.2052826
300,0.5910236220472441,400.0,399.7222818,399.4836889,399.2844547,399.1232425,398.9989681,398.9107947,398.8581275,398.8406112
301,0.4635511811023622,400.0,398.2701573,396.7895169,395.5513116,394.5482383,393.7743045,393.2248383,392.8964971,392.7872731
302,0.37991338582677164,400.0,397.3404837,395.062366,393.155488,391.60957,390.4161104,389.5684398,389.0617636,388.8931931
303,0.9981220472440945,400.0,404.6601098,408.6104113,411.8923775,414.5376159,416.5707632,418.010268,418.8689445,419.1543394
304,0.9968897637795275,400.0,404.6444416,408.5815391,411.8525882,414.4890599,416.5154874,417.9502436,418.806091,419.0905462
305,0.2804724409448819,400.0,396.2583263,393.0497437,390.3611514,388.1796057,386.4943026,385.296703,384.5806331,384.3423595
306,0.3177007874015748,400.0,396.6605503,393.7980796,391.4004581,389.4556335,387.9535804,386.886397,386.2483826,386.0360948
307,0.7777204724409449,400.0,401.9284991,403.5682601,404.9344391,406.0379488,406.88748,407.4896499,407.8491114,407.9686266
308,0.4194251968503937,400.0,397.7774293,395.8743445,394.2820787,392.9916704,391.9957361,391.2885004,390.8658206,390.7252045
309,0.8834094488188976,400.0,403.220795,405.9557734,408.2314116,410.067638,411.4801614,412.4808478,413.0779919,413.2764989
310,0.1967992125984252,400.0,395.3668047,391.3899586,388.0547033,385.3465272,383.2532236,381.7650834,380.8750533,380.5788546
311,0.6345196850393701,400.0,400.2277215,400.4203946,400.5812012,400.7112668,400.8115,400.8826003,400.9250634,400.9391849
312,0.6357204724409449,400.0,400.241748,400.4463812,400.6171674,400.7553033,400.8617549,400.9372657,400.9823626,400.9973601
313,0.46744094488188975,400.0,398.3138345,396.870617,395.66376,394.6861163,393.9318233,393.396312,393.0763138,392.9698658
314,0.6979606299212598,400.0,400.9741862,401.8027652,402.4937776,403.0523572,403.4826239,403.7877336,403.969915,404.0304953
315,0.5459566929133858,400.0,399.2039646,398.5225493,397.9532428,397.4923914,397.1370201,396.8848241,396.7341617,396.68405
316,0.24669291338582677,400.0,395.8963423,392.3760054,389.4251347,387.0300828,385.1794226,383.8640994,383.0775544,382.8158159
317,0.30278740157480316,400.0,396.4990072,393.4975675,390.9831439,388.9433122,387.3677234,386.2482116,385.5788804,385.3561671
318,0.181248031496063,400.0,395.2029939,391.0848207,387.6304895,384.8252607,382.6567175,381.1149725,380.1928365,379.8859455
319,0.4131732283464567,400.0,397.7080244,395.745395,394.1031955,392.772246,391.7449778,391.0154683,390.5794677,390.4344186
320,0.5659606299212598,400.0,399.4333596,398.9479976,398.5425832,398.2144622,397.9614774,397.7819603,397.6747234,397.6390566
321,0.4457283464566929,400.0,398.0705329,396.418803,395.0372451,393.9178624,393.054082,392.4407728,392.0742599,391.9523344
322,0.6644409448818898,400.0,400.5784065,401.0699763,401.4800979,401.8117245,402.0672335,402.2484506,402.3566676,402.3926547
323,0.10766929133858268,400.0,394.4358217,389.6551134,385.6420787,382.3811507,379.8591266,378.0654344,376.9923544,376.6351869
324,0.40598818897637795,400.0,397.6283855,395.597419,393.8979045,392.5204151,391.4571735,390.7020905,390.2507949,390.1006557
325,0.859240157480315,400.0,402.9224422,405.4049035,407.4710702,409.1386668,410.4216973,411.3307597,411.873272,412.053625
326,0.3478503937007874,400.0,396.9888391,394.4086235,392.2481226,390.4960978,389.1432267,388.1821786,387.6076733,387.4165263
327,0.4837204724409449,400.0,398.4970621,397.210792,396.1353767,395.2643385,394.5923722,394.115348,393.8303143,393.7354999
328,0.31363779527559055,400.0,396.6164845,393.7161107,391.2866358,389.3159039,387.7937999,386.7123489,386.0657962,385.850666
329,0.841744094488189,400.0,402.707517,405.0079462,406.9230307,408.4689526,409.6585197,410.5014369,411.0045042,411.1717487
330,0.9211102362204724,400.0,403.6895701,406.8208951,409.4250536,411.5255868,413.1409836,414.28517,414.9678602,415.1947913
331,0.3990669291338583,400.0,397.5517955,395.4550963,393.7004425,392.2781743,391.1803172,390.4006243,389.9346093,389.7795715
332,0.7828740157480315,400.0,401.9907747,403.6834004,405.0935339,406.2324906,407.1092778,407.730751,408.1017291,408.2250724
333,0.7610551181102362,400.0,401.7276276,403.1968128,404.4211277,405.4102072,406.1717366,406.711575,407.0338459,407.1409988
334,0.8151062992125985,400.0,402.3819787,404.4064923,406.0924446,407.4537551,408.5014689,409.2439724,409.6871501,409.8344908
335,0.7541732283464567,400.0,401.6449067,403.0438208,404.2096757,405.1515897,405.8768406,406.3909799,406.697916,406.7999713
336,0.48322834645669294,400.0,398.491513,397.2004907,396.1210963,395.2468313,394.5723732,394.093579,393.8074873,393.7123208
337,0.38076771653543307,400.0,397.3498892,395.0798483,393.1797487,391.6393376,390.4501363,389.6054939,389.1006291,388.9326614
338,0.22659448818897637,400.0,395.6822995,391.9775025,388.871361,386.3498548,384.4012229,383.0161318,382.1878129,381.9121645
339,0.7448346456692914,400.0,401.5328688,402.8365828,403.9232229,404.8012163,405.4772955,405.9565994,406.242748,406.337893
340,0.38425984251968504,400.0,397.3883539,395.1513422,393.2789609,391.7610678,390.5892784,389.7570175,389.2595591,389.0940565
341,0.927,400.0,403.7631787,406.9566935,409.6123701,411.754334,413.4015215,414.5681896,415.2642803,415.4956636
342,0.9520433070866142,400.0,404.0772996,407.5360661,410.4113889,412.729937,414.5125917,415.7750446,416.5282227,416.778572
343,0.7788700787401575,400.0,401.9423845,403.5939333,404.9699138,406.0813282,406.9369377,407.5434124,407.9054423,408.0258113
344,0.30394488188976376,400.0,396.5115253,393.520856,391.0154863,388.98302,387.4131325,386.297678,385.6307751,385.4088702
345,0.23167716535433072,400.0,395.7363351,392.0781137,389.0111835,386.5216154,384.5977303,383.2302634,382.4124975,382.1403631
346,0.25949606299212596,400.0,396.0332102,392.6307787,389.7791229,387.4648505,385.6767615,384.4059896,383.6461169,383.3932594
347,0.13432677165354331,400.0,394.7122725,390.1704336,386.3589237,383.2624288,380.8679922,379.1652599,378.146683,377.8076708
348,0.450240157480315,400.0,398.1209893,396.5125112,395.1671985,394.0772269,393.236168,392.6390054,392.2821469,392.163434
349,0.45479527559055116,400.0,398.1719837,396.6072132,395.298524,394.238268,393.4201645,392.8393139,392.4922084,392.3767408
350,0.907996062992126,400.0,403.5260374,406.5191537,409.0087914,411.0172106,412.5619162,413.6561062,414.308994,414.5260232
351,0.7756771653543307,400.0,401.9038285,403.5226446,404.8714073,405.9608708,406.7996009,407.394121,407.7490184,407.8670166
352,0.24540944881889765,400.0,395.8826441,392.3505049,389.3897013,386.9865612,385.1296354,383.8098508,383.0206346,382.7580067
353,0.7335787401574804,400.0,401.3981528,402.5873601,403.5786962,404.3797711,404.9966709,405.4340452,405.6951712,405.7819977
354,0.6493937007874016,400.0,400.4017428,400.7427715,401.0273466,401.257488,401.4348246,401.5606084,401.6357262,401.6607069
355,0.2145984251968504,400.0,395.555016,391.7404859,388.5419458,385.9451693,383.9382085,382.5115737,381.6583776,381.3744452
356,0.5919370078740157,400.0,399.7328431,399.5032671,399.3115646,399.1564479,399.0368733,398.9520347,398.9013597,398.884506
357,0.39353149606299215,400.0,397.4906294,395.3414262,393.542724,392.08468,390.9591647,390.159807,389.6820299,389.5230775
358,0.45729527559055116,400.0,398.199994,396.6592291,395.370653,394.3267155,393.5212174,392.9493238,392.6075737,392.493888
